--- maximo 10000000
Merge 64500 0.064462
Caixa 65000 0.072419
Merge 65000 0.072419
Caixa 65500 0.064019
Merge 65500 0.064019
Caixa 66000 0.070557
Merge 66000 0.070557
Caixa 66500 0.073762
Merge 66500 0.073762
Caixa 67000 0.062674
Merge 67000 0.062674
Caixa 67500 0.067169
Merge 67500 0.067169
Caixa 68000 0.063223
Merge 68000 0.063223
Caixa 68500 0.062664
Merge 68500 0.062664
Caixa 69000 0.067361
Merge 69000 0.067361
Caixa 69500 0.062015
Merge 69500 0.062015
Caixa 70000 0.067777
Merge 70000 0.067777
Caixa 70500 0.075110
Merge 70500 0.075110
Caixa 71000 0.066510
Merge 71000 0.066510
Caixa 71500 0.055011
Merge 71500 0.055011
Caixa 72000 0.062007
Merge 72000 0.062007
Caixa 72500 0.059831
Merge 72500 0.059831
Caixa 73000 0.079590
Merge 73000 0.079590
Caixa 73500 0.056207
Merge 73500 0.056207
Caixa 74000 0.060917
Merge 74000 0.060917
Caixa 74500 0.071908
Merge 74500 0.071908
Caixa 75000 0.071248
Merge 75000 0.071248
Caixa 75500 0.064809
Merge 75500 0.064809
Caixa 76000 0.075307
Merge 76000 0.075307
Caixa 76500 0.072227
Merge 76500 0.072227
Caixa 77000 0.078528
Merge 77000 0.078528
Caixa 77500 0.068601
Merge 77500 0.068601
Caixa 78000 0.072178
Merge 78000 0.072178
Caixa 78500 0.072416
Merge 78500 0.072416
Caixa 79000 0.056412
Merge 79000 0.056412
Caixa 79500 0.067292
Merge 79500 0.067292
Caixa 80000 0.059808
Merge 80000 0.059808
Caixa 80500 0.066383
Merge 80500 0.066383
Caixa 81000 0.067093
Merge 81000 0.067093
Caixa 81500 0.043052
Merge 81500 0.043052
Caixa 82000 0.072601
Merge 82000 0.072601
Caixa 82500 0.067685
Merge 82500 0.067685
Caixa 83000 0.071948
Merge 83000 0.071948
Caixa 83500 0.065005
Merge 83500 0.065005
Caixa 84000 0.064991
Merge 84000 0.064991
Caixa 84500 0.071920
Merge 84500 0.071920
Caixa 85000 0.067814
Merge 85000 0.067814
Caixa 85500 0.073000
Merge 85500 0.073000
Caixa 86000 0.065058
Merge 86000 0.065058
Caixa 86500 0.067950
Merge 86500 0.067950
Caixa 87000 0.063629
Merge 87000 0.063629
Caixa 87500 0.071754
Merge 87500 0.071754
Caixa 88000 0.072473
Merge 88000 0.072473
Caixa 88500 0.068156
Merge 88500 0.068156
Caixa 89000 0.068234
Merge 89000 0.068234
Caixa 89500 0.064039
Merge 89500 0.064039
Caixa 90000 0.068156
Merge 90000 0.068156
Caixa 90500 0.080028
Merge 90500 0.080028
Caixa 91000 0.078239
Merge 91000 0.078239
Caixa 91500 0.070744
Merge 91500 0.070744
Caixa 92000 0.064538
Merge 92000 0.064538
Caixa 92500 0.067851
Merge 92500 0.067851
Caixa 93000 0.072488
Merge 93000 0.072488
Caixa 93500 0.071407
Merge 93500 0.071407
Caixa 94000 0.067954
Merge 94000 0.067954
Caixa 94500 0.080421
Merge 94500 0.080421
Caixa 95000 0.060299
Merge 95000 0.060299
Caixa 95500 0.065027
Merge 95500 0.065027
Caixa 96000 0.063941
Merge 96000 0.063941
Caixa 96500 0.061363
Merge 96500 0.061363
Caixa 97000 0.060732
Merge 97000 0.060732
Caixa 97500 0.068911
Merge 97500 0.068911
Caixa 98000 0.072151
Merge 98000 0.072151
Caixa 98500 0.068452
Merge 98500 0.068452
Caixa 99000 0.059718
Merge 99000 0.059718
Caixa 99500 0.063173
Merge 99500 0.063173
Caixa 100000 0.064256
Merge 100000 0.064256
Caixa 100500 0.072373
Merge 100500 0.072373
Caixa 101000 0.060051
Merge 101000 0.060051
Caixa 101500 0.069046
Merge 101500 0.069046
Caixa 102000 0.066861
Merge 102000 0.066861
Caixa 102500 0.076993
Merge 102500 0.076993
Caixa 103000 0.074017
Merge 103000 0.074017
Caixa 103500 0.060852
Merge 103500 0.060852
Caixa 104000 0.065468
Merge 104000 0.065468
Caixa 104500 0.069455
Merge 104500 0.069455
Caixa 105000 0.069014
Merge 105000 0.069014
Caixa 105500 0.060821
Merge 105500 0.060821
Caixa 106000 0.073833
Merge 106000 0.073833
Caixa 106500 0.057207
Merge 106500 0.057207
Nova 0 0.000000
Caixa 1000 0.068097
Merge 1000 0.068097
Caixa 1500 0.064168
Merge 1500 0.064168
Caixa 2000 0.069177
Merge 2000 0.069177
Caixa 2500 0.069888
Merge 2500 0.069888
Caixa 3000 0.063802
Merge 3000 0.063802
Caixa 3500 0.069819
Merge 3500 0.069819
Caixa 4000 0.070365
Merge 4000 0.070365
Caixa 4500 0.068164
Merge 4500 0.068164
Caixa 5000 0.074737
Merge 5000 0.074737
Caixa 5500 0.059478
Merge 5500 0.059478
Caixa 6000 0.073200
Merge 6000 0.073200
Caixa 6500 0.067907
Merge 6500 0.067907
Caixa 7000 0.070846
Merge 7000 0.070846
Caixa 7500 0.059120
Merge 7500 0.059120
Caixa 8000 0.069630
Merge 8000 0.069630
Caixa 8500 0.066036
Merge 8500 0.066036
Caixa 9000 0.067989
Merge 9000 0.067989
Caixa 9500 0.067758
Merge 9500 0.067758
Caixa 10000 0.067540
Merge 10000 0.067540
Caixa 10500 0.064075
Merge 10500 0.064075
Caixa 11000 0.069604
Merge 11000 0.069604
Caixa 11500 0.075409
Merge 11500 0.075409
Caixa 12000 0.079603
Merge 12000 0.079603
Caixa 12500 0.067347
Merge 12500 0.067347
Caixa 13000 0.066851
Merge 13000 0.066851
Caixa 13500 0.065723
Merge 13500 0.065723
Caixa 14000 0.063801
Merge 14000 0.063801
Caixa 14500 0.089355
Merge 14500 0.089355
Caixa 15000 0.070996
Merge 15000 0.070996
Caixa 15500 0.070726
Merge 15500 0.070726
Caixa 16000 0.072844
Merge 16000 0.072844
Caixa 16500 0.078638
Merge 16500 0.078638
